URN,schname,pcode_fixed,latitude,longitude
139138,Aldersley High School,WV8 1RT,52.617816,-2.162992
113021,Alderwasley Hall School,DE56 2SR,53.075999,-1.513858
116234,Alderwood School,GU12 4RZ,51.247943,-0.743714
137974,Aldridge School - A Science College,WS9 0BG,52.597068,-1.925609
146303,AldridgeUTC@MediaCityUK,M50 2UW,53.475373,-2.296408
116427,Aldworth School,RG22 6HA,51.25374,-1.115123
139402,Alec Hunter Academy,CM7 3NR,51.872258,0.575716
134369,Alec Reed Academy,UB5 5LQ,51.544,-0.384
137531,Alexandra Park School,N11 2AZ,51.602063,-0.136263
113040,Alfreton Park Community Special School,DE55 7AL,53.09485,-1.396447
137934,Alfriston School,HP9 2TS,51.627382,-0.655262
139139,All Hallows Catholic College,SK11 8LB,53.255363,-2.141486
119802,All Hallows Catholic High School,PR1 0LN,53.73894,-2.741403
125315,All Hallows Catholic School,GU9 9HF,51.234714,-0.775057
131512,All Hallows RC High School,M6 8AA,53.490531,-2.315324
135946,All Saints Academy Dunstable,LU5 5AB,51.896113,-0.529635
100503,All Saints Catholic College,W10 6EL,51.520986,-0.214273
107782,All Saints Catholic College,HD2 2JT,53.678398,-1.772124
139735,All Saints Catholic College,SK16 5AP,53.471796,-2.077276
100282,All Saints Catholic High School,N16 5AF,51.57427,-0.075233
135479,All Saints Catholic High School,L33 8XF,53.485341,-2.884063
149517,All Saints Catholic School York,YO24 1BJ,53.951387,-1.094666
101247,All Saints Catholic School and Technology College,RM8 1JT,51.562827,0.15129
136142,All Saints Church of England Academy,PL5 3NE,50.402139,-4.157238
139606,All Saints Church of England Academy,TS17 5BL,54.518163,-1.320682
121250,All Saints School,NR12 0DJ,52.798439,1.548918
136016,"All Saints' Academy, Cheltenham",GL51 0WH,51.915436,-2.114548
138337,All Saints' Catholic High School,S2 2RJ,53.373342,-1.457122
140698,All Saints' Catholic Voluntary Academy,NG19 6BW,53.152048,-1.213157
147214,All Saints' Church of England Academy,DT4 9BJ,50.595729,-2.473714
147565,"All Saints' Roman Catholic High School, a Voluntary Academy",BB4 6SJ,53.697384,-2.306766
108058,Allerton Grange School,LS17 6SF,53.841861,-1.522923
108057,Allerton High School,LS17 7AG,53.850405,-1.55268
137911,Allestree Woodlands School,DE22 2LW,52.954254,-1.500204
100864,Alleyn's School,SE22 8SU,51.45478,-0.082019
140123,Alleyne's Academy,ST15 8DT,52.91067,-2.1407
138610,Alperton Community School,HA0 4JE,51.543213,-0.29324
149601,Alpha Learning Straffordshire,ST6 2AW,53.045,-2.19
140108,Alsager School,ST7 2HR,53.099054,-2.318246
148226,Alsop High School,L4 6SH,53.446169,-2.961634
104498,Alt Bridge School,L36 7TA,53.419654,-2.837242
143036,Alternative Centre of Education,N9 0TZ,51.624166,-0.057924
116537,Alton School,GU34 2NG,51.16009,-0.967261
138614,Altrincham College,WA15 8QW,53.384031,-2.324082
136458,Altrincham Grammar School for Boys,WA14 2RS,53.376134,-2.351247
137289,Altrincham Grammar School for Girls,WA14 2NL,53.381211,-2.360471
138342,Altwood Church of England School,SL6 4PU,51.516289,-0.750773
148538,Alvaston Moor Academy,DE24 0AN,52.889727,-1.443086
138875,Amberleigh Therapeutic School,TF2 9NZ,52.695676,-2.392644
137343,Amersham School,HP7 9HH,51.666864,-0.596166
137535,Amery Hill School,GU34 2BZ,51.152308,-0.977229
121735,Ampleforth College,YO62 4ER,54.202136,-1.082265
117684,Amwell View School,SG12 8EH,51.785821,-0.0023
139657,Anderida Learning Centre,BN22 8HR,50.775694,0.291966
137727,Anglo European School,CM4 0DJ,51.673156,0.386405
136839,Ansford Academy,BA7 7JJ,51.096368,-2.51076
149644,Anthony Gell School,DE4 4DX,53.079,-1.572
132069,Apple Orchard School,RH13 0RQ,51.049181,-0.421633
119880,Applebee Wood Community Specialist School,PR5 5SS,53.730455,-2.696437
137251,Appleby Grammar School,CA16 6XU,54.583518,-2.495023
134727,Applefields School,YO31 0LW,53.964566,-1.049673
126535,Appleford School,SP3 4HL,51.203228,-1.906011
116504,Applemore College,SO45 4RQ,50.861948,-1.430975
145173,Appleton Academy,BD12 8AL,53.742567,-1.771384
143642,Arbour House School,DT4 7QF,50.620335,-2.455515
145741,Arbour Vale School,SL2 3AE,51.534857,-0.617504
145859,Arc Oakbridge School,B19 3HU,52.489201,-1.90473
